id;name;geoid;geoname;value;datetime
805;Precio medio cuarto horario componente mercado diario;;;104.66;2026-01-02T17:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.72;2026-01-02T18:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.8;2026-01-02T18:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.73;2026-01-02T18:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.16;2026-01-02T18:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.8;2026-01-02T19:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;102.8;2026-01-02T19:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.52;2026-01-02T19:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.52;2026-01-02T19:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105.76;2026-01-02T20:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;107.04;2026-01-02T20:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;108.3;2026-01-02T20:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105.35;2026-01-02T20:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;108.5;2026-01-02T21:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;108.3;2026-01-02T21:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;107.7;2026-01-02T21:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.52;2026-01-02T21:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;108.3;2026-01-02T22:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.5;2026-01-02T22:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.94;2026-01-02T22:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100.7;2026-01-02T22:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100.46;2026-01-02T23:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.74;2026-01-02T23:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;96.94;2026-01-02T23:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94;2026-01-02T23:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.34;2026-01-03T00:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;82.79;2026-01-03T00:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;78.86;2026-01-03T00:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.48;2026-01-03T00:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.9;2026-01-03T01:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.99;2026-01-03T01:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.95;2026-01-03T01:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.9;2026-01-03T01:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;79.3;2026-01-03T02:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.37;2026-01-03T02:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;76.06;2026-01-03T02:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74.72;2026-01-03T02:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.77;2026-01-03T03:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;76.42;2026-01-03T03:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.12;2026-01-03T03:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74.2;2026-01-03T03:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74.44;2026-01-03T04:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;73.8;2026-01-03T04:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;73.8;2026-01-03T04:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;73.72;2026-01-03T04:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74.18;2026-01-03T05:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74.24;2026-01-03T05:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.3;2026-01-03T05:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.35;2026-01-03T05:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;73.46;2026-01-03T06:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;75.07;2026-01-03T06:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.45;2026-01-03T06:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.31;2026-01-03T06:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;78.56;2026-01-03T07:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;77.57;2026-01-03T07:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.33;2026-01-03T07:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;82.6;2026-01-03T07:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.85;2026-01-03T08:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90.35;2026-01-03T08:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.91;2026-01-03T08:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;92.65;2026-01-03T08:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95.35;2026-01-03T09:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95.63;2026-01-03T09:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.34;2026-01-03T09:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.04;2026-01-03T09:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;98.94;2026-01-03T10:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95;2026-01-03T10:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.45;2026-01-03T10:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.85;2026-01-03T10:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.95;2026-01-03T11:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;89;2026-01-03T11:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.85;2026-01-03T11:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.03;2026-01-03T11:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.85;2026-01-03T12:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.06;2026-01-03T12:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.16;2026-01-03T12:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.58;2026-01-03T12:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;85.85;2026-01-03T13:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;85.55;2026-01-03T13:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.03;2026-01-03T13:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;88.99;2026-01-03T13:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;85.11;2026-01-03T14:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;88.15;2026-01-03T14:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90.7;2026-01-03T14:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95.35;2026-01-03T14:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90;2026-01-03T15:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.05;2026-01-03T15:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;97.27;2026-01-03T15:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.02;2026-01-03T15:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95;2026-01-03T16:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.7;2026-01-03T16:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.36;2026-01-03T16:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;104.78;2026-01-03T16:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105;2026-01-03T17:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;106.01;2026-01-03T17:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;109.44;2026-01-03T17:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;111.91;2026-01-03T17:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.24;2026-01-03T18:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.24;2026-01-03T18:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;103.62;2026-01-03T18:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;105;2026-01-03T18:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.36;2026-01-03T19:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.36;2026-01-03T19:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;101.36;2026-01-03T19:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;100;2026-01-03T19:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.78;2026-01-03T20:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;99.46;2026-01-03T20:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;98.2;2026-01-03T20:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.67;2026-01-03T20:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;96.32;2026-01-03T21:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;92.86;2026-01-03T21:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.72;2026-01-03T21:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.01;2026-01-03T21:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;95.13;2026-01-03T22:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.66;2026-01-03T22:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;90;2026-01-03T22:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.8;2026-01-03T22:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;91.53;2026-01-03T23:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;86.48;2026-01-03T23:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;84.8;2026-01-03T23:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;81;2026-01-03T23:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;94.01;2026-01-04T00:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;89.42;2026-01-04T00:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;87.02;2026-01-04T00:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;80.52;2026-01-04T00:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;74;2026-01-04T01:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;65.5;2026-01-04T01:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;62.33;2026-01-04T01:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;61.87;2026-01-04T01:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;61.57;2026-01-04T02:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;60.5;2026-01-04T02:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;60;2026-01-04T02:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.37;2026-01-04T02:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;58.24;2026-01-04T03:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;57.98;2026-01-04T03:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;57.85;2026-01-04T03:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;56.2;2026-01-04T03:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.25;2026-01-04T04:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;54.6;2026-01-04T04:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;52.18;2026-01-04T04:30:00+01:00
